full name,covost,"whisper","mbart"
english,en,"en","en_XX"
spanish,es,"es","es_XX"
german,de,"de","de_DE"
turkish,tr,"tr","tr_TR"
persian,fa,"fa","fa_IR"
swedish,sv-SE,"sv","sv_SE"
mongolian,mn,"mn","mn_MN"
chinese,zh-CN,"zh","zh_CN"
welsh,cy,"cy","cy_GB"
catalan,ca,"ca","ca_ES"
slovenian,sl,"sl","sl_SI"
estonian,et,"et","et_EE"
indonesian,id,"id","id_ID"
arabic,ar,"ar","ar_AR"
tamil,ta,"ta","ta_IN"
latvian,lv,"lv","lv_LV"
japanese,ja,"ja","ja_XX"
italian,it,"it","it_IT"
russian,ru,"ru","ru_RU"
portuguese,pt,"pt","pt_XX"
dutch,nl,"nl","nl_XX"
french,fr,"fr","fr_XX"
korean,,"ko","ko_KR"
polish,,"pl","pl_PL"
hindi,,"hi","hi_IN"
finnish,,"fi","fi_FI"
gujarati,,"gu","gu_IN"
kazakh,,"kk","kk_KZ"
lithuanian,,"lt","lt_LT"
myanmar,,"my","my_MM"
nepali,,"ne","ne_NP"
romanian,,"ro","ro_RO"
sinhala,,"si","si_LK"
vietnamese,,"vi","vi_VN"
galician,,"gl","gl_ES"
xhosa,,,"xh_ZA"
ukrainian,,"uk","uk_UA"
urdu,,"ur","ur_PK"
tagalog,,"tl","tl_XX"
thai,,"th","th_TH"
telugu,,"te","te_IN"
swahili,,"sw","sw_KE"
pashto,,"ps","ps_AF"
marathi,,"mr","mr_IN"
malayalam,,"ml","ml_IN"
macedonian,,"mk","mk_MK"
khmer,,"km","km_KH"
georgian,,"ka","ka_GE"
croatian,,"hr","hr_HR"
hebrew,,"iw","he_IL"
bengali,,"bn","bn_IN"
azerbaijani,,"az","az_AZ"
afrikaans,,"af","af_ZA"
burmese,,"my","my_MM"
czech,,"cs","cs_CZ"